Listing ID,Operator,Location,County,ST,API Number,State ID,Latitude,Longitude,Section,Township,Range,Volume,API,Quality,Price Component(s),Bid Amount,Term Start,Term Duration,Evergreen,Royalty Distributions,Title Transfer,General Terms and Conditions,Miscellaneous
335799,"Bonanza Creek Energy Resources, LLC",Bodcaw 29-12,Lafayette,AR,03-073-10063,,33.23661,-93.51482,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 21626
335833,"Bonanza Creek Energy Resources, LLC",Bodcaw 29-14,Lafayette,AR,03-073-10116,,33.23445,-93.5111,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 22033
335867,"Bonanza Creek Energy Resources, LLC",Bodcaw A 4,Lafayette,AR,03-073-10442,,33.23193,-93.49325,28,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 25568
335901,"Bonanza Creek Energy Resources, LLC",Bodcaw C 1,Lafayette,AR,03-073-10196,,33.23433,-93.50697,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 22635
335935,"Bonanza Creek Energy Resources, LLC",Bodcaw C 3H,Lafayette,AR,03-073-11450,,33.23469,-93.50765,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 39412
335969,"Bonanza Creek Energy Resources, LLC",Bodcaw C 5,Lafayette,AR,03-073-11496,,33.23402,-93.50776,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 46204
336003,"Bonanza Creek Energy Resources, LLC",Bodcaw E 1,Lafayette,AR,03-073-10329,,33.24076,-93.51112,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24199
336037,"Bonanza Creek Energy Resources, LLC",Bodcaw F 1,Lafayette,AR,03-073-10341,,33.24023,-93.51464,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24368
336071,"Bonanza Creek Energy Resources, LLC",Bodcaw F 2,Lafayette,AR,03-073-11453,,33.2417,-93.51358,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 39437
336105,"Bonanza Creek Energy Resources, LLC",Bodcaw G 1,Lafayette,AR,03-073-10351,,33.23407,-93.51055,29,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 24432
336139,"Bonanza Creek Energy Resources, LLC",Bodcaw GL 2,Lafayette,AR,03-073-10444,,33.23183,-93.4901,28,17S,23W,0.01,Unknown,Unknown,Nymex Calendar Month Average (trade days),-2.25,3/1/2018,3,Yes,Producer,�FOB Lease into Buyers trucks,,ATTN: All BCEI Production in AR will be awarded to one purchaser. Please bid on all BCEI AR listings to be considered.; Field Name: McKamie Patton; Permit: 25623
